country_a,d1_educ,d1_sante,d1_admin,d1_d1tot,delta_d1tot
IRL*,0.0706099030312383,0.124082050417124,0.0859229484287133,0.229244985770646,-0.0313438523953618
KOR*,0.0873741308382402,0.0714509209895941,0.0842863567769437,0.145032979756709,0.00153926569898394
DEU*,0.0642136850382862,0.106755806876608,0.0843504411215581,0.147158845491206,-0.00433449336450348
NLD*,0.0682029166634522,0.1368044251406,0.089243421306404,0.171625920297067,-0.0062109061870908
GBR*,0.0844296396884925,0.111324271242977,0.0626168266886611,0.184557687663193,-0.00496789581925303
USA*,0.0865173000938238,0.114093775122396,0.109987696809237,0.17408569300052,-0.0102504172918707
ITA*,0.0817044181391118,0.0856036974065046,0.096646966309451,0.239838590488503,-0.018993659808117
HUN*,0.0661480785875483,0.0729733259519825,0.108180239197357,0.24402086491139,0.00245564668739434
SVK*,0.0714213110654349,0.0650252792417714,0.113452647290017,0.238736901695727,0.00154400552635481
POL*,0.088164321898285,0.0627350244232135,0.107574785392676,0.259999271113683,-0.0214728987305798
PRT*,0.0894090861145627,0.0990409758354038,0.0994059423234308,0.235895767185861,-0.0323559273208217
ESP*,0.0921072909661511,0.107304976462677,0.092490823245909,0.235483565904506,-0.00732841472611825
AUT,0.0818811683909939,0.100125949498465,0.0772208808765378,0.224046937908094,-0.000614331257446726
GRC*,0.109373123647331,0.0671900147016018,0.169612477835002,0.324158159126666,-0.0254854257122303
FRA**,0.0788468294218489,0.108670765970531,0.0976514866940296,0.23837811656486,-0.00778739143941937
BEL*,0.112244654356702,0.107206163337656,0.122185645309672,0.249613555113904,-0.00340922069923355
FIN*,0.0715070426309161,0.153892873411277,0.0699261349934352,0.265985477085771,-0.0230533388210233
SWE*,0.0813451120779308,0.160752232313034,0.0598511356059352,0.267863664106125,0.00328048613552817
NOR*,0.0799732569465658,0.185563938375705,0.0857074517443502,0.314237794159179,0.010942709225267
DNK,0.082991205727974,0.162751694437763,0.0661629757523238,0.294589166801211,-0.0157159536827263
